service_id,date,exception_type
25EISA_9911,20260321,1
25EISA_9911,20260328,1
25EISA_9911,20260404,1
25EISA_9911,20260411,1
25EISA_9911,20260418,1
25EISA_9911,20260425,1
25EISA_9911,20260502,1
25EISA_9911,20260509,1
25EISA_9911,20260516,1
25EISA_9911,20260523,1
25EISA_9911,20260530,1
25EISA_9911,20260606,1
25EISA_9911,20260613,1
25EISA_9911,20260620,1
25EISA_9911,20260627,1
25EISA_R01,20251220,1
25EISA_R01,20251227,1
25EISA_R01,20260103,1
25EISA_R01,20260110,1
25EISA_R01,20260117,1
25EISA_R01,20260124,1
25EISA_R01,20260131,1
25EISA_R01,20260207,1
25EISA_R01,20260214,1
25EISA_R01,20260221,1
25EISA_R01,20260228,1
25EISA_R01,20260307,1
25EISA_R01,20260314,1
25EISA_R01,20260321,1
25EISA_R01,20260328,1
25EISA_R01,20260404,1
25EISA_R01,20260411,1
25EISA_R01,20260418,1
25EISA_R01,20260425,1
25EISA_R01,20260502,1
25EISA_R01,20260509,1
25EISA_R01,20260516,1
25EISA_R01,20260523,1
25EISA_R01,20260530,1
25EISA_R01,20260606,1
25EISA_R01,20260613,1
25EISA_R01,20260620,1
25EISA_R01,20260627,1
25EISA_R02,20251220,1
25EISA_R02,20251227,1
25EISA_R02,20260103,1
25EISA_R02,20260110,1
25EISA_R02,20260117,1
25EISA_R02,20260124,1
25EISA_R02,20260131,1
25EISA_R02,20260207,1
25EISA_R02,20260214,1
25EISA_R02,20260221,1
25EISA_R02,20260228,1
25EISA_R02,20260307,1
25EISA_R02,20260314,1
25EISA_R02,20260321,1
25EISA_R02,20260328,1
25EISA_R02,20260404,1
25EISA_R02,20260411,1
25EISA_R02,20260418,1
25EISA_R02,20260425,1
25EISA_R02,20260502,1
25EISA_R02,20260509,1
25EISA_R02,20260516,1
25EISA_R02,20260523,1
25EISA_R02,20260530,1
25EISA_R02,20260606,1
25EISA_R02,20260613,1
25EISA_R02,20260620,1
25EISA_R02,20260627,1
25EISA_R03,20251220,1
25EISA_R03,20251227,1
25EISA_R03,20260103,1
25EISA_R03,20260110,1
25EISA_R03,20260117,1
25EISA_R03,20260124,1
25EISA_R03,20260131,1
25EISA_R03,20260207,1
25EISA_R03,20260214,1
25EISA_R03,20260221,1
25EISA_R03,20260228,1
25EISA_R03,20260307,1
25EISA_R03,20260314,1
25EISA_R03,20260321,1
25EISA_R03,20260328,1
25EISA_R03,20260404,1
25EISA_R03,20260411,1
25EISA_R03,20260418,1
25EISA_R03,20260425,1
25EISA_R03,20260502,1
25EISA_R03,20260509,1
25EISA_R03,20260516,1
25EISA_R03,20260523,1
25EISA_R03,20260530,1
25EISA_R03,20260606,1
25EISA_R03,20260613,1
25EISA_R03,20260620,1
25EISA_R03,20260627,1
25EISA_R04,20251220,1
25EISA_R04,20251227,1
25EISA_R04,20260103,1
25EISA_R04,20260110,1
25EISA_R04,20260117,1
25EISA_R04,20260124,1
25EISA_R04,20260131,1
25EISA_R04,20260207,1
25EISA_R04,20260214,1
25EISA_R04,20260221,1
25EISA_R04,20260228,1
25EISA_R04,20260307,1
25EISA_R04,20260314,1
25EISA_R04,20260321,1
25EISA_R04,20260328,1
25EISA_R04,20260404,1
25EISA_R04,20260411,1
25EISA_R04,20260418,1
25EISA_R04,20260425,1
25EISA_R04,20260502,1
25EISA_R04,20260509,1
25EISA_R04,20260516,1
25EISA_R04,20260523,1
25EISA_R04,20260530,1
25EISA_R04,20260606,1
25EISA_R04,20260613,1
25EISA_R04,20260620,1
25EISA_R04,20260627,1
25EISA_R05,20251220,1
25EISA_R05,20251227,1
25EISA_R05,20260103,1
25EISA_R05,20260110,1
25EISA_R05,20260117,1
25EISA_R05,20260124,1
25EISA_R05,20260131,1
25EISA_R05,20260207,1
25EISA_R05,20260214,1
25EISA_R05,20260221,1
25EISA_R05,20260228,1
25EISA_R05,20260307,1
25EISA_R05,20260314,1
25EISA_R05,20260321,1
25EISA_R05,20260328,1
25EISA_R05,20260404,1
25EISA_R05,20260411,1
25EISA_R05,20260418,1
25EISA_R05,20260425,1
25EISA_R05,20260502,1
25EISA_R05,20260509,1
25EISA_R05,20260516,1
25EISA_R05,20260523,1
25EISA_R05,20260530,1
25EISA_R05,20260606,1
25EISA_R05,20260613,1
25EISA_R05,20260620,1
25EISA_R05,20260627,1
25EISA_R06,20251220,1
25EISA_R06,20251227,1
25EISA_R06,20260103,1
25EISA_R06,20260110,1
25EISA_R06,20260117,1
25EISA_R06,20260124,1
25EISA_R06,20260131,1
25EISA_R06,20260207,1
25EISA_R06,20260214,1
25EISA_R06,20260221,1
25EISA_R06,20260228,1
25EISA_R06,20260307,1
25EISA_R06,20260314,1
25EISA_R06,20260321,1
25EISA_R06,20260328,1
25EISA_R06,20260404,1
25EISA_R06,20260411,1
25EISA_R06,20260418,1
25EISA_R06,20260425,1
